Noise,N,0,1
0.1,100,0.4307570364145773,0.16148781973286253
0.05,100,0.32082810983308463,0.2592820391325083
0.01,100,0.5566175268686204,0.3021852616642243
0.1,200,0.14248832879352802,0.20559257176345014
0.05,200,0.1409192766010323,0.18613753120485374
0.01,200,0.6782566159320722,0.2662362063260807
0.1,400,0.1779194534716268,0.09970325706155077
0.05,400,0.11948929785737032,0.13154677364199002
0.01,400,0.4261272330988502,0.14953220478903673
0.1,800,0.11267550163121635,0.06076655109258021
0.05,800,0.08237203635663443,0.08734106184873895
0.01,800,0.2013978187753956,0.185998906725315
0.1,1600,0.0969041645505482,0.12486140862946404
0.05,1600,0.07990873973043994,0.04041075927248861
0.01,1600,0.12221433438177905,0.1343421969828313
